,PseudoTime
E529_791,0.9912170639899623
E1720_65,0.08030112923462986
E950_354,0.44291091593475534
E1158_73,0.0903387703889586
E63_517,0.6474278544542033
E1141_332,0.41530740276035133
E1636_136,0.16938519447929737
E1704_482,0.6035131744040151
E2207_464,0.5809284818067754
E2781_260,0.32496863237139273
E1041_245,0.30614805520702637
E201_273,0.34127979924717694
E1418_630,0.7892095357590966
E614_797,0.998745294855709
E2582_735,0.9209535759096612
E1871_388,0.48557089084065247
E357_142,0.17691342534504392
E2935_470,0.588456712672522
E2102_590,0.739021329987453
E971_224,0.2797992471769134
E2885_30,0.03638644918444166
E724_24,0.028858218318695106
E1096_314,0.39272271016311167
E1842_377,0.47176913425345046
E1974_149,0.18569636135508155
E2964_197,0.24592220828105396
E1872_82,0.10163111668757842
E221_646,0.8092848180677541
E1812_193,0.24090338770388958
E2702_344,0.43036386449184444
E607_609,0.7628607277289837
E2907_597,0.7478042659974906
E2008_659,0.8255959849435383
E1558_502,0.6286072772898369
E268_548,0.6863237139272271
E974_421,0.5269761606022585
E970_534,0.6687578419071518
E255_99,0.12296110414052698
E1104_211,0.26348808030112925
E2646_44,0.053952321204516936
E1334_91,0.11292346298619825
E1947_142,0.17691342534504392
E926_420,0.5257214554579673
E1846_403,0.5043914680050188
E1599_185,0.23086574654956085
E2301_365,0.45671267252195735
E1937_202,0.2521957340025094
E546_502,0.6286072772898369
E993_746,0.9347553324968633
E632_354,0.44291091593475534
E1588_427,0.534504391468005
E1375_504,0.6311166875784191
E176_61,0.07528230865746549
E2427_48,0.05897114178168131
E1066_89,0.11041405269761606
E716_740,0.9272271016311167
E1058_439,0.5495608531994981
E859_443,0.5545796737766625
E2938_172,0.21455457967377667
E372_267,0.3337515683814304
E772_62,0.07653701380175659
E1034_764,0.9573400250941029
E763_16,0.018820577164366373
E1913_526,0.6587202007528231
E2531_484,0.6060225846925973
E1548_129,0.1606022584692597
E2097_75,0.09284818067754078
E728_343,0.42910915934755334
E2212_479,0.5997490589711418
E2634_474,0.5934755332496863
E1436_140,0.17440401505646172
E2986_557,0.6976160602258469
E2141_109,0.1355081555834379
E2571_669,0.8381430363864492
E2613_493,0.617314930991217
E2965_29,0.03513174404015056
E581_67,0.08281053952321205
E2065_100,0.12421580928481807
E2809_679,0.8506900878293601
E872_793,0.9937264742785445
E2633_785,0.9836888331242158
E593_766,0.9598494353826851
E1254_574,0.7189460476787954
E893_1,0.0
E738_453,0.5671267252195734
E1897_758,0.9498117942283564
E779_663,0.8306148055207027
E1166_252,0.31493099121706397
E2573_493,0.617314930991217
E1537_33,0.04015056461731493
E2521_441,0.5520702634880803
E443_682,0.8544542032622334
E112_37,0.0451693851944793
E2251_770,0.9648682559598495
E611_104,0.12923462986198245
E291_700,0.877038895859473
E2578_214,0.2672521957340025
E2198_49,0.060225846925972396
E130_302,0.37766624843161856
E1758_388,0.48557089084065247
E1108_153,0.19071518193224593
E2855_586,0.7340025094102886
E29_155,0.1932245922208281
E1644_674,0.8444165621079046
E2077_362,0.45294855708908405
E2337_207,0.2584692597239649
E552_775,0.9711417816813049
E323_581,0.7277289836888331
E1316_320,0.4002509410288582
E2609_197,0.24592220828105396
E2308_433,0.5420326223337516
E2218_714,0.8946047678795483
E1801_786,0.9849435382685069
E718_272,0.34002509410288584
E235_399,0.4993726474278545
E234_305,0.38143036386449186
E756_272,0.34002509410288584
E2658_137,0.17063989962358847
E928_64,0.07904642409033877
E2554_750,0.9397741530740276
E1707_427,0.534504391468005
E799_62,0.07653701380175659
E2259_368,0.4604767879548306
E778_464,0.5809284818067754
E1268_207,0.2584692597239649
E1134_255,0.3186951066499373
E293_443,0.5545796737766625
E2116_138,0.17189460476787954
E2968_222,0.27728983688833125
E468_195,0.24341279799247176
E1085_718,0.8996235884567126
E479_541,0.6775407779171895
E2514_745,0.9335006273525721
E1036_525,0.657465495608532
E13_641,0.8030112923462986
E1094_376,0.47051442910915936
E2993_607,0.7603513174404015
E2357_369,0.4617314930991217
E1612_143,0.178168130489335
E1862_404,0.5056461731493099
E299_90,0.11166875784190715
E2182_394,0.493099121706399
E1524_573,0.7176913425345044
E2066_184,0.22961104140526975
E1703_501,0.6273525721455459
E409_298,0.3726474278544542
E1244_489,0.6122961104140527
E2819_307,0.383939774153074
E2915_339,0.424090338770389
E2794_547,0.685069008782936
E332_639,0.8005018820577164
E1922_138,0.17189460476787954
E2612_18,0.02132998745294856
E821_738,0.9247176913425345
E2667_167,0.20828105395232122
E2010_220,0.27478042659974905
E2700_662,0.8293601003764115
E431_290,0.36260978670012545
E2817_187,0.23337515683814303
E1505_344,0.43036386449184444
E1277_210,0.26223337515683814
E515_734,0.9196988707653702
E2648_710,0.8895859473023839
E373_139,0.17314930991217065
E1378_524,0.6562107904642409
E2178_415,0.5194479297365119
E2774_696,0.8720200752823086
E2592_621,0.7779171894604768
E270_340,0.42534504391468003
E2342_289,0.3613550815558344
E1222_71,0.08782936010037641
E605_147,0.18318695106649938
E1065_698,0.8745294855708908
E1074_293,0.36637390213299875
E641_490,0.6135508155583438
E2094_741,0.9284818067754078
E2188_639,0.8005018820577164
E322_188,0.23462986198243413
E27_495,0.6198243412797992
E1419_556,0.6963613550815558
E883_171,0.21329987452948557
E1702_717,0.8983688833124216
E2193_162,0.20200752823086573
E1583_266,0.3324968632371393
E813_396,0.49560853199498117
E454_21,0.025094102885821833
E2523_657,0.823086574654956
E11_424,0.5307402760351317
E619_415,0.5194479297365119
E2831_417,0.5219573400250941
E2782_21,0.025094102885821833
E488_754,0.944792973651192
E2152_155,0.1932245922208281
E681_23,0.027603513174404015
E1621_485,0.6072772898368883
E2845_103,0.12797992471769135
E2853_326,0.4077791718946048
E1417_676,0.8469259723964868
E2140_410,0.5131744040150564
E1767_455,0.5696361355081556
E2665_180,0.2245922208281054
E526_785,0.9836888331242158
E2876_507,0.6348808030112923
E301_390,0.4880803011292346
E1850_318,0.397741530740276
E1534_433,0.5420326223337516
E652_256,0.3199498117942284
E2151_405,0.506900878293601
E1109_591,0.740276035131744
E2796_269,0.33626097867001253
E836_94,0.11668757841907151
E1522_84,0.10414052697616061
E1561_527,0.6599749058971142
E930_654,0.8193224592220828
E2268_168,0.2095357590966123
E1710_89,0.11041405269761606
E640_583,0.7302383939774153
E1116_3,0.002509410288582183
E2014_498,0.6235884567126725
E1664_500,0.6260978670012547
E1025_594,0.7440401505646174
E2861_199,0.24843161856963614
E896_677,0.848180677540778
E474_353,0.44165621079046424
E2948_410,0.5131744040150564
E121_515,0.644918444165621
E316_150,0.18695106649937265
E1377_459,0.5746549560853199
E2_121,0.15056461731493098
E1941_375,0.46925972396486826
E1728_613,0.767879548306148
E698_529,0.6624843161856964
E71_362,0.45294855708908405
E419_37,0.0451693851944793
E1273_233,0.29109159347553326
E2942_425,0.5319949811794228
E2079_162,0.20200752823086573
E115_610,0.7641154328732748
E343_557,0.6976160602258469
E2233_435,0.5445420326223338
E335_313,0.39146800501882056
E2442_289,0.3613550815558344
E14_127,0.15809284818067754
E2240_290,0.36260978670012545
E1649_65,0.08030112923462986
E1193_595,0.7452948557089084
E2870_470,0.588456712672522
E2197_295,0.36888331242158096
E751_747,0.9360100376411543
E647_686,0.8594730238393977
E1914_592,0.7415307402760352
E1893_275,0.3437892095357591
E411_260,0.32496863237139273
E885_327,0.4090338770388959
E1101_483,0.6047678795483061
E2711_292,0.36511919698870765
E475_368,0.4604767879548306
E1971_769,0.9636135508155583
E1179_797,0.998745294855709
E2761_12,0.013801756587202008
E621_248,0.3099121706398996
E630_59,0.07277289836888332
E2803_731,0.9159347553324969
E1205_722,0.904642409033877
E2271_3,0.002509410288582183
E2096_473,0.5922208281053952
E1459_104,0.12923462986198245
E2101_546,0.6838143036386449
E2432_632,0.7917189460476788
E727_555,0.6951066499372648
E2489_451,0.5646173149309912
E2456_686,0.8594730238393977
E2232_583,0.7302383939774153
E425_506,0.6336260978670013
E2822_621,0.7779171894604768
E2664_719,0.9008782936010038
E2834_226,0.2823086574654956
E2631_650,0.8143036386449184
E1438_629,0.7879548306148055
E1925_317,0.39648682559598497
E2477_276,0.3450439146800502
E2659_194,0.24215809284818068
E375_717,0.8983688833124216
E298_312,0.39021329987452946
E146_327,0.4090338770388959
E1014_435,0.5445420326223338
E1412_627,0.7854454203262233
E759_719,0.9008782936010038
E2588_168,0.2095357590966123
E1646_627,0.7854454203262233
E572_141,0.17565872020075282
E1488_720,0.9021329987452948
E1062_372,0.465495608531995
E922_83,0.1028858218318695
E857_4,0.0037641154328732747
E2621_610,0.7641154328732748
E54_795,0.9962358845671268
E1835_70,0.08657465495608532
E1701_669,0.8381430363864492
E2320_46,0.056461731493099125
E1884_791,0.9912170639899623
E2919_308,0.3851944792973651
E96_123,0.15307402760351319
E2643_688,0.8619824341279799
E852_102,0.12672521957340024
E1197_506,0.6336260978670013
E2294_58,0.07151819322459223
E1169_35,0.04265997490589712
E2980_645,0.8080301129234629
