,PseudoTime
C_404815,0
C_292255,0
C_145123,0
C_140701,0
C_98893,0
C_336274,0
C_533656,0
C_407428,0
C_511345,0
C_378685,0
C_3820,0
C_156982,0
C_335470,0
C_449839,0
C_583906,0
C_236377,0
C_427528,0
C_491848,0
C_136078,0
C_503305,0
C_292456,0
C_108742,0
C_466924,0
C_140500,0
C_393157,0
C_498280,0
C_143314,0
C_483004,0
C_523204,0
C_374464,0
C_130451,0.0101010101010101
C_92864,0.0101010101010101
C_23720,0.0101010101010101
C_499889,0.0101010101010101
C_518984,0.0101010101010101
C_16283,0.0101010101010101
C_476372,0.0101010101010101
C_379892,0.0101010101010101
C_97889,0.0101010101010101
C_382907,0.0101010101010101
C_571646,0.0101010101010101
C_57287,0.0101010101010101
C_94472,0.0101010101010101
C_419891,0.0101010101010101
C_464513,0.0101010101010101
C_551546,0.0101010101010101
C_596168,0.0101010101010101
C_71960,0.0101010101010101
C_390545,0.0101010101010101
C_187736,0.0101010101010101
C_579083,0.0101010101010101
C_50654,0.0101010101010101
C_218489,0.0101010101010101
C_11861,0.0101010101010101
C_431549,0.0101010101010101
C_123014,0.0101010101010101
C_228137,0.0101010101010101
C_254468,0.0101010101010101
C_510944,0.0101010101010101
C_464111,0.0101010101010101
C_363411,0.0202020202020202
C_420294,0.0202020202020202
C_130854,0.0202020202020202
C_377682,0.0202020202020202
C_1812,0.0202020202020202
C_443007,0.0202020202020202
C_113769,0.0202020202020202
C_475569,0.0202020202020202
C_240600,0.0202020202020202
C_223917,0.0202020202020202
C_435771,0.0202020202020202
C_576270,0.0202020202020202
C_253062,0.0202020202020202
C_419088,0.0202020202020202
C_219093,0.0202020202020202
C_241002,0.0202020202020202
C_35178,0.0202020202020202
C_212661,0.0202020202020202
C_283212,0.0202020202020202
C_276981,0.0202020202020202
C_62715,0.0202020202020202
C_135678,0.0202020202020202
C_309543,0.0202020202020202
C_85428,0.0202020202020202
C_5430,0.0202020202020202
C_203616,0.0202020202020202
C_37389,0.0202020202020202
C_333060,0.0202020202020202
C_384918,0.0202020202020202
C_147738,0.0202020202020202
C_379090,0.0303030303030303
C_484012,0.0303030303030303
C_482605,0.0303030303030303
C_322810,0.0303030303030303
C_171658,0.0303030303030303
C_345322,0.0303030303030303
C_71158,0.0303030303030303
C_218692,0.0303030303030303
C_362005,0.0303030303030303
C_576070,0.0303030303030303
C_162412,0.0303030303030303
C_504916,0.0303030303030303
C_124624,0.0303030303030303
C_469138,0.0303030303030303
C_259696,0.0303030303030303
C_82012,0.0303030303030303
C_179497,0.0303030303030303
C_171457,0.0303030303030303
C_444817,0.0303030303030303
C_127639,0.0303030303030303
C_529438,0.0303030303030303
C_15682,0.0303030303030303
C_509137,0.0303030303030303
C_446023,0.0303030303030303
C_426526,0.0303030303030303
C_371251,0.0303030303030303
C_464716,0.0303030303030303
C_355171,0.0303030303030303
C_104926,0.0303030303030303
C_270148,0.0303030303030303
C_270551,0.0404040404040404
C_56285,0.0404040404040404
C_229949,0.0404040404040404
C_293666,0.0404040404040404
C_549740,0.0404040404040404
C_327836,0.0404040404040404
C_78797,0.0404040404040404
C_220703,0.0404040404040404
C_144725,0.0404040404040404
C_279395,0.0404040404040404
C_91661,0.0404040404040404
C_258290,0.0404040404040404
C_441401,0.0404040404040404
C_543509,0.0404040404040404
C_408437,0.0404040404040404
C_442004,0.0404040404040404
C_39401,0.0404040404040404
C_444818,0.0404040404040404
C_235778,0.0404040404040404
C_110354,0.0404040404040404
C_529640,0.0404040404040404
C_276983,0.0404040404040404
C_183317,0.0404040404040404
C_80606,0.0404040404040404
C_13070,0.0404040404040404
C_49652,0.0404040404040404
C_458888,0.0404040404040404
C_169850,0.0404040404040404
C_334670,0.0404040404040404
C_474164,0.0404040404040404
C_433563,0.0505050505050505
C_2418,0.0505050505050505
C_233769,0.0505050505050505
C_207438,0.0505050505050505
C_244020,0.0505050505050505
C_371052,0.0505050505050505
C_584916,0.0505050505050505
C_197790,0.0505050505050505
C_401403,0.0505050505050505
C_338490,0.0505050505050505
C_180504,0.0505050505050505
C_142515,0.0505050505050505
C_42015,0.0505050505050505
C_84828,0.0505050505050505
C_255678,0.0505050505050505
C_397383,0.0505050505050505
C_256281,0.0505050505050505
C_375273,0.0505050505050505
C_71763,0.0505050505050505
C_252060,0.0505050505050505
C_412659,0.0505050505050505
C_23724,0.0505050505050505
C_597378,0.0505050505050505
C_390348,0.0505050505050505
C_329646,0.0505050505050505
C_278994,0.0505050505050505
C_391755,0.0505050505050505
C_148947,0.0505050505050505
C_492054,0.0505050505050505
C_131661,0.0505050505050505
C_384922,0.0606060606060606
C_588937,0.0606060606060606
C_470548,0.0606060606060606
C_308542,0.0606060606060606
C_367636,0.0606060606060606
C_141511,0.0606060606060606
C_115984,0.0606060606060606
C_584917,0.0606060606060606
C_430549,0.0606060606060606
C_143722,0.0606060606060606
C_52066,0.0606060606060606
C_368842,0.0606060606060606
C_307738,0.0606060606060606
C_456277,0.0606060606060606
C_600193,0.0606060606060606
C_369244,0.0606060606060606
C_539290,0.0606060606060606
C_318793,0.0606060606060606
C_530044,0.0606060606060606
C_108949,0.0606060606060606
C_463714,0.0606060606060606
C_519994,0.0606060606060606
C_109753,0.0606060606060606
C_581701,0.0606060606060606
C_418489,0.0606060606060606
C_389746,0.0606060606060606
C_331657,0.0606060606060606
C_205630,0.0606060606060606
C_549541,0.0606060606060606
C_211258,0.0606060606060606
C_434972,0.0707070707070707
C_16892,0.0707070707070707
C_428540,0.0707070707070707
C_55082,0.0707070707070707
C_100709,0.0707070707070707
C_333266,0.0707070707070707
C_156185,0.0707070707070707
C_140909,0.0707070707070707
C_562808,0.0707070707070707
C_256283,0.0707070707070707
C_375074,0.0707070707070707
C_135683,0.0707070707070707
C_73373,0.0707070707070707
C_106940,0.0707070707070707
C_162014,0.0707070707070707
C_325226,0.0707070707070707
C_437183,0.0707070707070707
C_175079,0.0707070707070707
C_184124,0.0707070707070707
C_323417,0.0707070707070707
C_392762,0.0707070707070707
C_418088,0.0707070707070707
C_361607,0.0707070707070707
C_504920,0.0707070707070707
C_371456,0.0707070707070707
C_109754,0.0707070707070707
C_419294,0.0707070707070707
C_282413,0.0707070707070707
C_46640,0.0707070707070707
C_421103,0.0707070707070707
C_260907,0.0808080808080808
C_18501,0.0808080808080808
C_58500,0.0808080808080808
C_32772,0.0808080808080808
C_135483,0.0808080808080808
C_69354,0.0808080808080808
C_133875,0.0808080808080808
C_114981,0.0808080808080808
C_549945,0.0808080808080808
C_13677,0.0808080808080808
C_255480,0.0808080808080808
C_146940,0.0808080808080808
C_292263,0.0808080808080808
C_62118,0.0808080808080808
C_571653,0.0808080808080808
C_535272,0.0808080808080808
C_325830,0.0808080808080808
C_203622,0.0808080808080808
C_288042,0.0808080808080808
C_323619,0.0808080808080808
C_539292,0.0808080808080808
C_134277,0.0808080808080808
C_47445,0.0808080808080808
C_372060,0.0808080808080808
C_336483,0.0808080808080808
C_560598,0.0808080808080808
C_595974,0.0808080808080808
C_374673,0.0808080808080808
C_390954,0.0808080808080808
C_554769,0.0808080808080808
C_88852,0.0909090909090909
C_581503,0.0909090909090909
C_24130,0.0909090909090909
C_353368,0.0909090909090909
C_386734,0.0909090909090909
C_252064,0.0909090909090909
C_141715,0.0909090909090909
C_364825,0.0909090909090909
C_131263,0.0909090909090909
C_115585,0.0909090909090909
C_6241,0.0909090909090909
C_595573,0.0909090909090909
C_61516,0.0909090909090909
C_105334,0.0909090909090909
C_88651,0.0909090909090909
C_114379,0.0909090909090909
C_352363,0.0909090909090909
C_216085,0.0909090909090909
C_133474,0.0909090909090909
C_478189,0.0909090909090909
C_222115,0.0909090909090909
C_246235,0.0909090909090909
C_362212,0.0909090909090909
C_334072,0.0909090909090909
C_493465,0.0909090909090909
C_217492,0.0909090909090909
C_539695,0.0909090909090909
C_45436,0.0909090909090909
C_455074,0.0909090909090909
C_384925,0.0909090909090909
C_284627,0.101010101010101
C_401408,0.101010101010101
C_547937,0.101010101010101
C_313370,0.101010101010101
C_136088,0.101010101010101
C_295280,0.101010101010101
C_203624,0.101010101010101
C_94481,0.101010101010101
C_330053,0.101010101010101
C_176489,0.101010101010101
C_162821,0.101010101010101
C_546932,0.101010101010101
C_80009,0.101010101010101
C_498290,0.101010101010101
C_469346,0.101010101010101
C_594569,0.101010101010101
C_463517,0.101010101010101
C_226538,0.101010101010101
C_132068,0.101010101010101
C_311360,0.101010101010101
C_477185,0.101010101010101
C_346133,0.101010101010101
C_559394,0.101010101010101
C_430151,0.101010101010101
C_186137,0.101010101010101
C_564620,0.101010101010101
C_55889,0.101010101010101
C_5036,0.101010101010101
C_410252,0.101010101010101
C_116591,0.101010101010101
C_508140,0.111111111111111
C_99306,0.111111111111111
C_59910,0.111111111111111
C_185334,0.111111111111111
C_423720,0.111111111111111
C_448041,0.111111111111111
C_376485,0.111111111111111
C_462714,0.111111111111111
C_413670,0.111111111111111
C_244227,0.111111111111111
C_510150,0.111111111111111
C_9258,0.111111111111111
C_239403,0.111111111111111
C_107145,0.111111111111111
C_392766,0.111111111111111
C_64734,0.111111111111111
C_314979,0.111111111111111
C_121014,0.111111111111111
C_336285,0.111111111111111
C_272970,0.111111111111111
C_565827,0.111111111111111
C_499095,0.111111111111111
C_116190,0.111111111111111
C_280005,0.111111111111111
C_349752,0.111111111111111
C_142722,0.111111111111111
C_142119,0.111111111111111
C_189555,0.111111111111111
C_184329,0.111111111111111
C_472563,0.111111111111111
C_67951,0.121212121212121
C_174682,0.121212121212121
C_346939,0.121212121212121
C_242419,0.121212121212121
C_392968,0.121212121212121
C_525427,0.121212121212121
C_583114,0.121212121212121
C_403621,0.121212121212121
C_476383,0.121212121212121
C_116392,0.121212121212121
C_410656,0.121212121212121
C_196591,0.121212121212121
C_9862,0.121212121212121
C_30967,0.121212121212121
C_412465,0.121212121212121
C_313573,0.121212121212121
C_325633,0.121212121212121
C_515980,0.121212121212121
C_503317,0.121212121212121
C_320608,0.121212121212121
C_17299,0.121212121212121
C_435982,0.121212121212121
C_287041,0.121212121212121
C_175888,0.121212121212121
C_433570,0.121212121212121
C_355783,0.121212121212121
C_191365,0.121212121212121
C_238600,0.121212121212121
C_322417,0.121212121212121
C_348145,0.121212121212121
C_290861,0.131313131313131
C_221516,0.131313131313131
C_279806,0.131313131313131
C_489449,0.131313131313131
C_76193,0.131313131313131
C_306941,0.131313131313131
