,gA,gB,gC,gC1,gC2,gD,gD1,gD2,gE,gE1,gE2,gF,gF1,gF2,groups
0,0.027646768010811028,2.028944074584226,0.016885769238709592,0.019465264691093175,0.02380771668662207,0.018528238238868434,0.020698949944557593,0.02093183967768608,1.9321683339380629,0.06889532969563758,1.824497482512734,0.049631499386024264,0.05794413476165175,0.04217520919728064,5.0
1,0.02643986222755346,2.027955666797501,0.01730882362676862,0.019630089259188327,0.024591903574281072,0.018348001110265057,0.019092996529764397,0.02050691771204735,1.965628385345602,0.06075293524134772,1.8293492032190901,0.046244830452414655,0.04405835502371845,0.022718489964337955,5.0
2,0.02593749220939331,2.033591992187923,0.017299839862801494,0.017962690609704072,0.024223716355846255,0.017605207437510748,0.019063454975434314,0.02125863867638692,1.9768881316224987,0.04514579769413882,1.8173907117153834,0.03175313587517961,0.03738465263038094,0.021413186250044576,5.0
3,0.025958846058256015,2.0199714631129684,0.017568623867130637,0.017871572085119664,0.024127549551941865,0.01791643707734808,0.021124348285149558,0.021061846664080335,1.9807593284288485,0.03720293363073523,1.8369617861353253,0.020330918512255314,0.03677650679827955,0.019746375368131314,5.0
4,0.026298850513188938,2.0154607197453522,0.017536448326846053,0.019212518677384934,0.024913278292475187,0.01909465010421537,0.021010082719336406,0.02132906133780015,1.9868720597095113,0.03738554069774187,1.8372261781868846,0.019997035522856067,0.03683252428709663,0.019559962340787985,5.0
5,0.026402926399110217,2.0093878539780072,0.017483221799733967,0.020283043324702238,0.02449585305710197,0.01990072728025928,0.02096272225887505,0.020651107818874734,1.9822863607034156,0.03776144269093528,1.8344064273503045,0.022269775198057826,0.03658167077656818,0.01937108626856204,5.0
6,0.02611986641849391,2.01375466477483,0.01700760963688894,0.020611943244124572,0.026712345758780735,0.02276243637539729,0.020972586019769923,0.02058586285525309,1.9787174405924821,0.03860394271683832,1.8431552943755483,0.022266424917737032,0.03653586091304613,0.019292757786948084,5.0
7,0.026386642158303802,2.004509934853622,0.016722969411135855,0.020753846453216065,0.027275411262306096,0.02267765958164501,0.020668689761690208,0.02060221487653083,1.977421243075361,0.040656699029107325,1.847996911797985,0.022112024858782074,0.03694558265425285,0.01892182598705421,5.0
8,0.02647649973019614,1.9994728443385252,0.016314061429535908,0.020970710784607136,0.027030136603800804,0.022197894668881404,0.020866148828323706,0.020637473577955322,1.977453162736825,0.040685617178207616,1.854606913728894,0.0213122444768561,0.03714457676898583,0.018797193186542382,5.0
9,0.02639102179979515,1.9959963820227957,0.016700888090829487,0.02080838374927475,0.027048787680883903,0.022119508235524946,0.0203384919709624,0.02083869047848394,1.9739967010757449,0.04058573999488223,1.8541847152412552,0.019970842884564168,0.03830968125148507,0.018305658248914617,5.0
10,0.026079476425374865,1.9884189918644006,0.016777441453045976,0.020746837732247597,0.027058040952175365,0.021348447568449135,0.02081775466671804,0.021389889440290424,1.9812128156350866,0.04033044143627154,1.8542227024709868,0.020483292858899795,0.038080710505766,0.01916650321616298,5.0
11,0.025546517501652134,1.9913582426008611,0.015985809782240023,0.021131100592114996,0.027910082680892744,0.021263747973310446,0.02097433377253064,0.021629659982205358,1.9842585243228792,0.03964219243006619,1.8583525999470618,0.020421823913020738,0.03860503930054846,0.019061839405894405,5.0
12,0.025231130241826744,1.9940226582988954,0.016561262511530367,0.020500563966070747,0.026076219810079154,0.021590353408727784,0.01912193618990497,0.021945442170357,1.9839694208992802,0.03975347593134744,1.854034160503864,0.020830321018277875,0.037228480887547176,0.01774941676775391,5.0
13,0.024261848444925304,1.993979241336252,0.017098996842505158,0.020076586149385373,0.026378617539065924,0.021735305224810007,0.01956666954880767,0.020660292452937164,1.9722382220026458,0.040427022261969744,1.860209920214664,0.024368342294381874,0.01737366665390705,0.02068386091670141,5.0
