,gA,gB,gC,gC1,gC2,gD,gD1,gD2,gE,gE1,gE2,gF,gF1,gF2,groups
43,0.7562364762894047,0.3621784905507137,0.8697497341379322,0.026696948454481645,0.030468330235997047,0.9184924373363237,0.042272178913106265,0.0379106375332331,0.4840707980832397,0.025630099943437335,0.024165356179967117,0.49510221824516776,0.029062969170643348,0.01606026537731819,8.0
44,0.7479245887595747,0.37352728918286426,0.86651395086133,0.026567198706182422,0.030334617511417125,0.9299885082267264,0.0425308234359548,0.038111757143678066,0.49879576247592117,0.02691498499239942,0.0248146341883566,0.5136870653481349,0.02848874331537096,0.01644609387816926,8.0
45,0.7509894367394446,0.3633130663678251,0.8619452560391662,0.02642815003635544,0.03068321262764325,0.9293624415530306,0.04253453336630661,0.038032565716887,0.48753802969625015,0.027114588016542974,0.024562804975916716,0.5011117427788937,0.02872735329718197,0.016394740089931484,8.0
46,0.7417974993296407,0.3691233142540545,0.8499699099726399,0.026001940249322862,0.03146049507077644,0.9340503592316644,0.04487726343375484,0.03823106919244967,0.4955137928864207,0.02712576965955499,0.024850220772207225,0.5140698316236754,0.027945941175909948,0.016054623068452,8.0
47,0.749012109317841,0.36830847863544003,0.8648022617069233,0.02573803547909865,0.03077773022577202,0.9587768029943485,0.04321701848320911,0.032504514545941325,0.4979607920592208,0.026986113734933634,0.025103735636408057,0.5173841021436464,0.027331124824514098,0.016635448518974746,8.0
48,0.7529127310132105,0.36834622039344,0.8773214325174413,0.030373152883830485,0.030342955559571415,0.9759923913742824,0.043176285825198175,0.03285914804433309,0.49910252173173836,0.027924467701488657,0.02498708270416085,0.5160326315268907,0.028446652847151678,0.01618425475082214,8.0
49,0.7471221032741328,0.3806018557502589,0.8906142312909185,0.030369068659582707,0.030142893993808144,0.9638915545032247,0.04551672103749968,0.03324066537606043,0.5190798262719212,0.02784736726841808,0.025722014762775806,0.5254240101097122,0.028744841299304928,0.014163421844774442,8.0
50,0.7429315340358523,0.3710073406138635,0.893134807392205,0.030336855684323163,0.03015633175060836,0.9671361853196109,0.045351541006187095,0.032453951093833686,0.5303209272906608,0.02850016071850673,0.025369839801106117,0.5408099614037497,0.029252306093119324,0.014146472460346999,8.0
51,0.7414773601320698,0.38479671211518024,0.8746638064484108,0.030912581935582804,0.028162965536619896,0.9597977288362025,0.04558639218878641,0.03243285587046711,0.5357452943379646,0.028566526786294347,0.025153664160493795,0.5474525359157721,0.02922811708739383,0.014438085202266084,8.0
52,0.7530424462688912,0.38480121122930444,0.8917572876776231,0.03188457794156355,0.031199707057566382,0.965056083666828,0.04082446194211881,0.029293890581029977,0.5356165194923378,0.028650108926777634,0.0263040719431887,0.5463057129134826,0.028869784232735535,0.013152245799498995,8.0
53,0.7540951977297109,0.37692950820877713,0.8851594366993822,0.03247007542732614,0.03118783956961547,0.9671642975248085,0.040505626380420684,0.029419211974168392,0.5282788714814172,0.028746327520141758,0.02656781526803182,0.5332829178056006,0.028689749145023282,0.01275074298247843,8.0
54,0.7623618291773774,0.3725153579933929,0.8866524153114181,0.032457256732665425,0.030920759406214526,0.9665540013428808,0.04090577696717615,0.03092007826664205,0.521909304802235,0.02925080079363397,0.02700472735140424,0.5294966842541318,0.028718167794698123,0.013267688422927377,8.0
55,0.7406252553095513,0.3671204945069573,0.8646093106289962,0.03257351948540013,0.03082316527155113,0.941220085299857,0.04104284987592668,0.031050957841172445,0.5135925071088555,0.028179483962231796,0.02724702157009007,0.5262399223099185,0.03189752641927026,0.02155490131747554,8.0
56,0.7256002024954143,0.37428776023896815,0.8574129152900973,0.032824459574910196,0.030861546108938286,0.9385475784047237,0.04118626445713959,0.03099082349931154,0.5300469910630544,0.028141689562379578,0.02834434765187323,0.534261939230227,0.03180639672460183,0.021694095321273973,8.0
57,0.7217562136960125,0.3690549878732976,0.8481425987320941,0.03281408720559281,0.03063675463658362,0.9414161402592748,0.048457221866418966,0.03955324512696884,0.5213361420063045,0.026800006313757188,0.02759069171424281,0.5193156043127299,0.03167000310910488,0.024074113117116127,8.0
58,0.7374258739754552,0.3717380345937134,0.8820486341918041,0.03148740535703426,0.030821108178938315,0.9491850906750047,0.048022572978000666,0.040186428604515406,0.5408191872136685,0.02618184461707808,0.027730666954052446,0.5310383901079027,0.03206827188518333,0.024078352335625514,8.0
59,0.7391955073946417,0.3631501178012189,0.8735719721924964,0.032097956830181754,0.0316327387579609,0.9329786296559531,0.04870536177393931,0.04227473829227209,0.5258750807975465,0.026216711300167336,0.02795384394481889,0.5089331607619266,0.032612242599214275,0.02401458477735126,8.0
60,0.7326095948705329,0.36749675015451955,0.8767413485224873,0.031996241255477426,0.03135749508853252,0.9356967572834087,0.048671084678496575,0.04360661883052288,0.5285105285425622,0.02632971209001895,0.028333887194838522,0.5166396755147248,0.032996209991835924,0.023830269447029838,8.0
61,0.7265279046351464,0.36658690069362165,0.8797745391591876,0.031951597610707407,0.031555980532863515,0.9376270173798609,0.04878610997761463,0.04559497382987506,0.5118923426389181,0.025490739225201623,0.02911780187265918,0.5026147534790024,0.032059356858823114,0.023827861649332652,8.0
62,0.713953259873355,0.38170194546490877,0.8681745667848504,0.03190644325763174,0.03148705377948229,0.9299913831988569,0.049111349922638194,0.04580540301356472,0.5177492666133834,0.02552767411600781,0.02912179274678225,0.5116736877776871,0.032262468020014826,0.023931135708057223,8.0
63,0.731932661180264,0.3675468797932224,0.8779618398016902,0.03242955849761727,0.03154850000092323,0.9340671264851713,0.049148087989843374,0.045860780501196255,0.5059836510872509,0.025617790720646638,0.029498796106675735,0.5067297337067,0.032894237762224034,0.023554716623511593,8.0
64,0.7075190578824018,0.3734096525908434,0.874931239653683,0.03315713854096137,0.03131933798892646,0.9249187419849512,0.049206825701710116,0.0462112729316533,0.5220435959592666,0.025843629919270392,0.031081809535368498,0.5097363773747624,0.03330376976904193,0.023317188001858384,8.0
65,0.6980031202964371,0.37689169764454333,0.8584920200045603,0.03835597903694354,0.0315080957557135,0.9122092307272303,0.048214056656344616,0.04630376842582926,0.5294048414657112,0.025863553105811243,0.031039771636803555,0.5179354704453347,0.03527073471984477,0.023374277678111285,8.0
